model_name,parameters,f1,accuracy,precision,recall,confusion_matrix,RQ,Window Size,Hop Length,Correlation Treshold
randomforest,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",0.404958702483319,0.4074585635359116,0.404948479381743,0.4074585635359116,"[[ 80  79  92]
 [ 57 113  63]
 [ 76  62 102]]",2,1.0,0.5,0.7
randomforest,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 42}",0.3999350364909029,0.4033149171270718,0.399546653896684,0.4033149171270718,"[[ 79  79  93]
 [ 47 122  64]
 [ 86  63  91]]",2,1.0,0.5,0.7
randomforest,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 300, 'random_state': 42}",0.4104851608593043,0.4129834254143646,0.4096337913638404,0.4129834254143646,"[[ 85  73  93]
 [ 52 123  58]
 [ 87  62  91]]",2,1.0,0.5,0.7
gradientboosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42}",0.4065550246817259,0.4088397790055249,0.4060143055537986,0.4088397790055249,"[[ 90  76  85]
 [ 60 119  54]
 [ 84  69  87]]",2,1.0,0.5,0.7
gradientboosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'random_state': 42}",0.3938294043976305,0.3964088397790055,0.3931137977534256,0.3964088397790055,"[[ 86  78  87]
 [ 65 118  50]
 [ 88  69  83]]",2,1.0,0.5,0.7
gradientboosting,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 42}",0.4146318730628718,0.4171270718232044,0.4142487060574547,0.4171270718232044,"[[ 88  79  84]
 [ 58 121  54]
 [ 81  66  93]]",2,1.0,0.5,0.7
gradientboosting,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'random_state': 42}",0.3849670956240695,0.3867403314917127,0.3858574771318024,0.3867403314917127,"[[ 79  72 100]
 [ 53 110  70]
 [ 79  70  91]]",2,1.0,0.5,0.7
gradientboosting,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42}",0.3856544725195049,0.3895027624309392,0.3860583025516902,0.3895027624309392,"[[ 74  82  95]
 [ 50 117  66]
 [ 79  70  91]]",2,1.0,0.5,0.7
gradientboosting,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'random_state': 42}",0.4006167487849022,0.4033149171270718,0.4002573803746806,0.4033149171270718,"[[ 86  79  86]
 [ 56 119  58]
 [ 83  70  87]]",2,1.0,0.5,0.7
gradientboosting,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'random_state': 42}",0.4050471230573602,0.4088397790055249,0.4059837699087122,0.4088397790055249,"[[ 85  83  83]
 [ 47 124  62]
 [ 79  74  87]]",2,1.0,0.5,0.7
gradientboosting,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'random_state': 42}",0.4137682687075074,0.4157458563535912,0.4142304170486733,0.4157458563535912,"[[ 93  80  78]
 [ 51 118  64]
 [ 80  70  90]]",2,1.0,0.5,0.7
extratrees,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.4064634669105786,0.4116022099447514,0.4055760278149773,0.4116022099447514,"[[ 93  80  78]
 [ 50 130  53]
 [ 95  70  75]]",2,1.0,0.5,0.7
extratrees,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.3941730737375591,0.399171270718232,0.3932172965632258,0.399171270718232,"[[ 91  83  77]
 [ 51 126  56]
 [ 98  70  72]]",2,1.0,0.5,0.7
extratrees,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",0.4029792072185455,0.4060773480662983,0.402380226514667,0.4060773480662983,"[[ 87  81  83]
 [ 53 122  58]
 [ 88  67  85]]",2,1.0,0.5,0.7
