Dataset,RQ,Model,Parameter,F1 Score,Accuracy,Precision,Recall
3,1,gradientboosting,500.0,0.6886203026033971,0.689181111775254,0.6921942939689418,0.6902044626671928
3,1,extratrees,10.0,0.6618188713402275,0.6622833233711894,0.6622697363705434,0.6618238664630903
3,1,extratrees,25.0,0.6861253132832079,0.6867901972504483,0.6901397039249049,0.6878792037650181
3,1,extratrees,50.0,0.697676532336067,0.6981470412432755,0.7009573071318299,0.6991180742596055
3,1,extratrees,100.0,0.6973095656504316,0.6981470412432755,0.7023918028504252,0.699361822579815
3,1,extratrees,200.0,0.6963070587053539,0.6975493126120741,0.7032652477049214,0.6989743985635289
3,1,extratrees,500.0,0.7059099975605205,0.7071129707112971,0.7130385000715614,0.7085413414306383
3,2,svm,0.001,0.16379018612521154,0.32570659488559894,0.10856886496186631,0.3333333333333333
3,2,svm,0.01,0.16379018612521154,0.32570659488559894,0.10856886496186631,0.3333333333333333
3,2,svm,0.5,0.3969170099307086,0.40107671601615075,0.4006418336831101,0.4040492676856314
3,2,svm,1.0,0.3829944950990242,0.3835800807537012,0.38366240774325006,0.38496761224033954
3,2,svm,5.0,0.3795785477708005,0.3795423956931359,0.3799051440437851,0.3797504706595616
3,2,svm,10.0,0.3686633605889154,0.36877523553162855,0.3686099294005023,0.36873118691300505
3,2,svm,20.0,0.36344347749756895,0.3633916554508748,0.3633592030164858,0.36421604603422786
3,2,svm_rbf,0.001,0.16379018612521154,0.32570659488559894,0.10856886496186631,0.3333333333333333
3,2,svm_rbf,0.01,0.16379018612521154,0.32570659488559894,0.10856886496186631,0.3333333333333333
3,2,svm_rbf,0.5,0.3969170099307086,0.40107671601615075,0.4006418336831101,0.4040492676856314
3,2,svm_rbf,1.0,0.3829944950990242,0.3835800807537012,0.38366240774325006,0.38496761224033954
3,2,svm_rbf,5.0,0.3795785477708005,0.3795423956931359,0.3799051440437851,0.3797504706595616
3,2,svm_rbf,10.0,0.3686633605889154,0.36877523553162855,0.3686099294005023,0.36873118691300505
3,2,svm_rbf,20.0,0.36344347749756895,0.3633916554508748,0.3633592030164858,0.36421604603422786
