Dataset,RQ,Model,Parameter,F1 Score,Accuracy,Precision,Recall
2,5,extratrees,10.0,0.39300230515626433,0.40822407628128726,0.4000992509036927,0.3974102312828012
2,5,extratrees,25.0,0.38143823216604106,0.4022646007151371,0.39284396354195145,0.3891555221435641
2,5,extratrees,50.0,0.41363120675620674,0.4362336114421931,0.43333479555532745,0.42167128574146157
2,5,extratrees,100.0,0.4235446048247819,0.4463647199046484,0.44086837753424657,0.4319567351504554
2,5,extratrees,200.0,0.4269707708906389,0.4499404052443385,0.4487979227647138,0.43504371385276935
2,5,extratrees,500.0,0.4146089453345856,0.4410011918951132,0.4383785292585561,0.4249359792076737
3,1,svm,0.001,0.32919005613472335,0.4907352062163778,0.2453676031081889,0.5
3,1,svm,0.01,0.6686136541801441,0.675433353257621,0.6966051017255837,0.6783244125736964
3,1,svm,0.5,0.690091028813731,0.6939629408248655,0.7084197374932825,0.6962731525163977
3,1,svm,1.0,0.6937898484095293,0.6969515839808726,0.7092986553879175,0.699074471187662
3,1,svm,5.0,0.7038136800803729,0.7059175134488942,0.715182749837095,0.7077221755216643
3,1,svm,10.0,0.7070187123556668,0.7083084279737,0.7146176122153481,0.7097815271654286
3,1,svm,20.0,0.7095021289560579,0.7101016138673042,0.7136716037954177,0.7111875475344964
3,1,svm_rbf,0.001,0.32919005613472335,0.4907352062163778,0.2453676031081889,0.5
3,1,svm_rbf,0.01,0.6686136541801441,0.675433353257621,0.6966051017255837,0.6783244125736964
3,1,svm_rbf,0.5,0.690091028813731,0.6939629408248655,0.7084197374932825,0.6962731525163977
3,1,svm_rbf,1.0,0.6937898484095293,0.6969515839808726,0.7092986553879175,0.699074471187662
3,1,svm_rbf,5.0,0.7038136800803729,0.7059175134488942,0.715182749837095,0.7077221755216643
3,1,svm_rbf,10.0,0.7070187123556668,0.7083084279737,0.7146176122153481,0.7097815271654286
3,1,svm_rbf,20.0,0.7095021289560579,0.7101016138673042,0.7136716037954177,0.7111875475344964
3,1,randomforest,10.0,0.6699404710847301,0.6700537955768081,0.6699404710847301,0.6699404710847301
3,1,randomforest,25.0,0.687951952434517,0.689181111775254,0.6945529266854638,0.6905811646166075
3,1,randomforest,50.0,0.6992377357921853,0.7005379557680813,0.7065778046790705,0.7019973066168019
3,1,randomforest,100.0,0.7093734746030378,0.7106993424985056,0.7172492023067241,0.7121954218204067
3,1,randomforest,200.0,0.7066177950265919,0.7083084279737,0.7161596700744453,0.7099587986710356
3,1,randomforest,500.0,0.7117833805022455,0.7136879856545129,0.7226698483997754,0.7154399192556884
3,1,gradientboosting,10.0,0.6946896777869643,0.6969515839808726,0.7062155564651516,0.6987864049910506
3,1,gradientboosting,25.0,0.6970351881273597,0.6993424985056784,0.7089185778965338,0.7012002996460288
3,1,gradientboosting,50.0,0.7057083296611191,0.7077106993424985,0.7167080763713267,0.709482738901946
3,1,gradientboosting,100.0,0.7116312741312741,0.7130902570233114,0.7202747189873864,0.7146536343517867
3,1,gradientboosting,200.0,0.7079038835560575,0.7089061566049014,0.7141049719735022,0.7102354279963173
3,1,gradientboosting,500.0,0.7058426250900169,0.7065152420800956,0.7103141850995929,0.7076442618357321
3,1,extratrees,10.0,0.6689090847276872,0.6694560669456067,0.66954242326852,0.6689325967988197
3,1,extratrees,25.0,0.6855515828378596,0.6867901972504483,0.6921113465613562,0.6881894288998301
3,1,extratrees,50.0,0.7046101557729465,0.7053197848176928,0.7092423351192219,0.7064705529155444
3,1,extratrees,100.0,0.704422055984556,0.7059175134488942,0.7129116163616678,0.7074784272014547
3,1,extratrees,200.0,0.6995641255502305,0.7011356843992828,0.708191161356629,0.702717114706101
3,1,extratrees,500.0,0.7070826764647196,0.7089061566049014,0.7172960399778163,0.710612129945732
3,2,svm,0.001,0.16379018612521154,0.32570659488559894,0.10856886496186631,0.3333333333333333
3,2,svm,0.01,0.16379018612521154,0.32570659488559894,0.10856886496186631,0.3333333333333333
3,2,svm,0.5,0.36476431206321247,0.3674293405114401,0.36821015167869175,0.3697044151589606
3,2,svm,1.0,0.3601363101217286,0.360699865410498,0.35977110333703816,0.3617324526415436
3,2,svm,5.0,0.34163320933964747,0.34185733512786004,0.3420999915654521,0.34172543263452354
3,2,svm,10.0,0.34544591928673435,0.34589502018842533,0.3468235044772956,0.34549602731420914
3,2,svm,20.0,0.331068891277138,0.3310901749663526,0.3324401290056955,0.33052533052533056
3,2,svm_rbf,0.001,0.16379018612521154,0.32570659488559894,0.10856886496186631,0.3333333333333333
3,2,svm_rbf,0.01,0.16379018612521154,0.32570659488559894,0.10856886496186631,0.3333333333333333
3,2,svm_rbf,0.5,0.36476431206321247,0.3674293405114401,0.36821015167869175,0.3697044151589606
3,2,svm_rbf,1.0,0.3601363101217286,0.360699865410498,0.35977110333703816,0.3617324526415436
3,2,svm_rbf,5.0,0.34163320933964747,0.34185733512786004,0.3420999915654521,0.34172543263452354
3,2,svm_rbf,10.0,0.34544591928673435,0.34589502018842533,0.3468235044772956,0.34549602731420914
3,2,svm_rbf,20.0,0.331068891277138,0.3310901749663526,0.3324401290056955,0.33052533052533056
3,2,randomforest,10.0,0.3344968062547153,0.3364737550471063,0.3356907092363308,0.3381143835689291
3,2,randomforest,25.0,0.3362748767196167,0.3364737550471063,0.3382680673665524,0.33739111011838285
3,2,randomforest,50.0,0.3451075701931707,0.3472409152086137,0.34799345247773833,0.34931448567812207
3,2,randomforest,100.0,0.3605813257784758,0.360699865410498,0.36056665881227284,0.3617324526415435
3,2,randomforest,200.0,0.3268611975311574,0.32705248990578734,0.32774192071531466,0.32774923684014595
3,2,randomforest,500.0,0.33923356062146715,0.3391655450874832,0.340263746447613,0.33996511269238544
3,2,gradientboosting,10.0,0.3595338347612514,0.3755047106325707,0.3913840703078268,0.37733601369965003
3,2,gradientboosting,25.0,0.363288380939808,0.36608344549125166,0.3715784977358982,0.36706127615218526
3,2,gradientboosting,50.0,0.37446140042253945,0.37415881561238223,0.37945832709477867,0.37469287469287466
3,2,gradientboosting,100.0,0.3640292641193182,0.3633916554508748,0.36656767485195996,0.36421604603422786
3,2,gradientboosting,200.0,0.3518743448673161,0.351278600269179,0.35421912967015073,0.35227139772594324
3,2,gradientboosting,500.0,0.3530256484425149,0.35262449528936746,0.3550649128458332,0.35274471638108
3,2,extratrees,10.0,0.3460623606836173,0.3472409152086137,0.3496381986489229,0.34868162140889414
3,2,extratrees,25.0,0.3224669829732905,0.32301480484522205,0.3225333711696689,0.3241594605230969
3,2,extratrees,50.0,0.337304738921488,0.33781965006729475,0.3403463563132905,0.33903974813065724
3,2,extratrees,100.0,0.3135472013679845,0.3135935397039031,0.31599672779192006,0.3138847229756321
3,2,extratrees,200.0,0.32420125323769167,0.3243606998654105,0.32414382069531583,0.32463277917823374
3,2,extratrees,500.0,0.3282124340274856,0.3283983849259758,0.3285224604276707,0.32858419222055585
3,5,svm,0.001,0.1806826434277415,0.3717872086072923,0.1239290695357641,0.3333333333333333
3,5,svm,0.01,0.1806826434277415,0.3717872086072923,0.1239290695357641,0.3333333333333333
3,5,svm,0.5,0.35670729348002367,0.41063956963538556,0.40771476095623377,0.38869280311491644
3,5,svm,1.0,0.3712809710868891,0.41123729826658695,0.41094035777161175,0.3925872365891148
3,5,svm,5.0,0.42385864299295967,0.44231918708906154,0.4386047308364187,0.43018937352349584
3,5,svm,10.0,0.4203352598182098,0.43454871488344293,0.42846954509580515,0.4244810030301229
3,5,svm,20.0,0.41687053338056385,0.42797369994022716,0.42149184234492293,0.41948695608864806
3,5,svm_rbf,0.001,0.1806826434277415,0.3717872086072923,0.1239290695357641,0.3333333333333333
3,5,svm_rbf,0.01,0.1806826434277415,0.3717872086072923,0.1239290695357641,0.3333333333333333
3,5,svm_rbf,0.5,0.35670729348002367,0.41063956963538556,0.40771476095623377,0.38869280311491644
3,5,svm_rbf,1.0,0.3712809710868891,0.41123729826658695,0.41094035777161175,0.3925872365891148
3,5,svm_rbf,5.0,0.42385864299295967,0.44231918708906154,0.4386047308364187,0.43018937352349584
3,5,svm_rbf,10.0,0.4203352598182098,0.43454871488344293,0.42846954509580515,0.4244810030301229
3,5,svm_rbf,20.0,0.41687053338056385,0.42797369994022716,0.42149184234492293,0.41948695608864806
3,5,randomforest,10.0,0.3752150434355723,0.3873281530185296,0.37929021072992725,0.3787459990273649
3,5,randomforest,25.0,0.4090077853289251,0.4237895995218171,0.4204024835317847,0.41339151802185065
3,5,randomforest,50.0,0.4051527797722429,0.42319187089061566,0.4173694138417279,0.41151990803126964
